Samsung Bespoke Single Unit AI Laundry Hub 4.6 cu. ft. Washer with 7.6 cu. ft. ELECTRIC Dryer in Brushed Black,Samsung,--,"[""2-year Manufacturer's Warranty"", 'AI Laundry Hub™ with Easy Reach Control Panel - Control Both the Washer and Dryer from the Easy Reach Control Panel', 'AI OptiWash™ & AI Optimal Dry Detects Soil Level and Fabrics, and Adjusts Settings as Needed During the Cycle¹', 'Flex Auto Dispense System - Automatically Dispense Up To 34 Loads of Detergent', 'Super Speed Wash & Dry - Wash And Dry a Full Load In Just 58 Minutes³']",Item  1805405,Model  WH46DBH500EV
LG 9.0 cu. ft. Mega Capacity Smart Wi-Fi Enabled Front Load GAS Dryer with TurboSteam and Built-In Intelligence,LG,--,"['TurboSteam™ Technology', 'ThinQ® Technology', 'FlowSense™ Duct Clogging & Lint Filter Indicators', 'Built-In Intelligence (AI Fabric Sensor / Smart Pairing™)']",Item  1622968,Model  DLGX8981V
Samsung 5.4 cu. ft. Active WaterJet Washer and 7.4 cu. ft. GAS Dryer with Steam Sanitize+,Samsung,--,"['Washer: 5.4 cu. ft. Capacity - Fewer Loads, Less Time in the Laundry Room, and More Time for You', 'Washer: Active Waterjet - Built-in Water Faucet for Easy Pretreating', 'Dryer: Steam Sanitize+ - Multi-steam Technology Steams Away Wrinkles, Odors, and Static.', 'Dryer: Sensor Dry - Automatically Optimizes the Time and Temperature of Your Drying Cycle to Protect Your Clothes from Heat Damage, While Avoiding Excess Energy Use.']",Item  V100063,Model  WA54R7200AV | DVG54R7200V
Whirlpool 7.0 cu. ft. Front Load ELECTRIC Dryer with Moisture Sense,Whirlpool,--,"['Wrinkle Shield™ Option', 'Air Only Cycle', 'Static Reduce Option', 'Wrinkle Control Cycle']",Item  1426096,Model  WED5010LW
GE Unitized Spacemaker 2.3 cu. ft. Washer and 4.4 cu. ft. ELECTRIC Dryer,GE Appliances,--,"['Combined Washer and Dryer Unit Saves Space', 'Single Action Agitator', '11 Washer and 4 Dryer Cycles']",Item  1225152,Model  GUD24ESSMWW
Whirlpool 3.5 cu ft. Washer and 5.9 cu. ft. Dryer ELECTRIC Laundry Center,Whirlpool,--,"['Dual Action Agitator with Fabric Softener Dispenser', 'AutoDry™ Drying System', '4 Drying Cycles', 'White Porcelain Basket']",Item  1226196,Model  WET4027HW
LG 7.3 cu. ft. Rear Control ELECTRIC Dryer with Sensor Dry,LG,--,"['Sensor Dry', 'Aluminized Alloy Steel Drum', 'LoDecibel Quiet Operation', 'Smart Diagnosis', 'Wrinkle Care Option']",Item  1731770,Model  DLE7000W
LG 5.5 cu. ft. Mega Capacity Wi-Fi Enabled Top Load Washer with TurboWash3D Technology,LG,--,"[""2-year Manufacturer's Warranty"", 'TurboWash3D™ Technology / 6Motion™ Technology', 'ColdWash™ Technology', 'ThinQ Care™ Technology']",Item  1715543,Model  WT7480CL
LG WashTower Single Unit with Center Control 5.0 cu. ft Washer and 7.4 cu. ft. GAS Dryer with TurboSteam,LG,--,"['AI DD 2.0 Advanced Washing', 'AI Sensor Dry and TurboSteam', 'Allergiene Cycle', 'ENERGY STAR® Certified', 'ThinQ® Technology with ThinQ Care']",Item  1732306,Model  WKGX301HBA
Whirlpool 4.6 cu. ft. Top Load Impeller Washer and 7.0 cu. ft. GAS Dryer Laundry Package,Whirlpool,--,[],Item  V100001,Model  WTW5010LW | WGD5010LW
Samsung 5.5 cu. ft. XL Capacity Smart Top Load Washer with Auto Dispense System,Samsung,--,"[""2-year Manufacturer's Warranty"", 'Auto Dispense System - Conveniently Stores and Dispenses up to 12 Loads of Detergent and Softener.', 'Extra-Large 5.5 cu. ft. Capacity - Fewer Loads, Less Time in the Laundry Room.', 'Super Speed Wash - Powerful Cleaning in Just 28 Minutes.', 'Wi-Fi Connectivity with SmartThings - Get End-of-cycle Alerts, and Remotely Start, Stop, or Delay Your Washer from Your Phone.']",Item  1805399,Model  WA55CG7500AE
Electrolux 300 Series Laundry Tower Single Unit Washer & GAS Dryer,Electrolux,--,"['LuxCare® Wash System', 'LuxCare® Lint Shield', 'Reversible Doors', 'Extended Refresh', 'ENERGY STAR® Certified']",Item  1811972,Model  ELTG7300AW
Samsung 5.2 cu. ft. Large Capacity Smart Top Load Washer with Super Speed Wash,Samsung,--,"[""2-year Manufacturer's Warranty"", 'Large 5.2 cu. ft. Capacity - Fewer Loads, Less Time in the Laundry Room', 'Super Speed Wash - Powerful Cleaning in Just 28 Minutes', 'Wi-Fi Connectivity with SmartThings - Get End-of-cycle Alerts, and Remotely Start, Stop, or Delay Your Washer from Your Phone', 'Active WaterJet - Built-in Water Faucet Lets You Easily Pretreat Heavily Soiled and Stained Clothes']",Item  1805398,Model  WA52DG5500AW
Maytag 7.0 cu. ft. ELECTRIC Dryer with Wrinkle Prevent Phase,Maytag,--,"['Wrinkle Prevent Phase', 'End of Cycle Signal', '7.0 cu. ft. Capacity', 'Reversible Door']",Item  1795560,Model  MED4500MW
GE Unitized Spacemaker 3.8 cu. ft. Washer and 5.9 cu. ft. GAS Dryer,GE Appliances,--,"['Stainless Steel Wash Basket', 'Adaptive Fill', '11 Wash and 4 Dry Cycles', 'Adaptive Fill']",Item  1325873,Model  GUD27GESNWW
LG 5.2 cu. ft. Mega Capacity Smart Wi-Fi Enabled Front Load Washer with TurboWash and Built-In Intelligence,LG,--,"['TurboWash® Technology', 'TrueBalance™ Anti-Vibration System', 'ColdWash™ Technology', 'AAFA Certified']",Item  1622966,Model  WM8980HVA
Whirlpool 7.0 cu. ft. Front Load GAS Dryer with Moisture Sensing in White,Whirlpool,--,"['Timed Dry', 'Wrinkle Shield™ Option', 'Static Reduce Option']",Item  1426098,Model  WGD5010LW
Samsung 5.5 cu. ft. Extra-Large Capacity Smart Top Load Washer with Super Speed Wash,Samsung,--,"['Soft-Close Lid', 'Active WaterJet', 'Extra-Large 5.5 cu. ft. Capacity means fewer loads in less time']",Item  1588429,Model  WA55A7300AE
Whirlpool 3.8 cu. ft. Top Load Washer with Soaking Cycles in White,,--,"['Two-Way Wash Action Agitator', 'Water Level Selection', 'Quick Wash Cycle', 'Late Lid Lock']",Item  1480428,Model  WTW4955HW
GE 4.5 cu. ft. Washer with Stainless Steel Basket and 7.2 cu. ft. GAS Dryer Package with 120 ft. Venting,GE Appliances,--,"['Cold Plus and Wash Boost', 'Water Level Control', 'Powerful Venting and Flexible Installation', 'Large Diffuser for Even Drying', 'Extended Tumble']",Item  V100327,Model  GTW485ASWWB | GTD48GASWWB
Maytag 4.5 cu. ft. Top Load Washer with Extra Power,Maytag,--,"['Extra Power', 'Deep Fill Option', 'Built-in Water Faucet', 'Quick Wash Cycle', 'Power™ Agitator']",Item  1700482,Model  MVW5035MW
Samsung Bespoke Single Unit AI Laundry Hub 4.6 cu. ft. Washer with 7.6 cu. ft. ELECTRIC Dryer in White,Samsung,--,"[""2-year Manufacturer's Warranty"", 'AI Laundry Hub™ with Easy Reach Control Panel - Control Both the Washer and Dryer from the Easy Reach Control Panel', '4.6 cu. ft. Large Capacity - Fewer Loads, Less Time in the Laundry Room', 'Wi-Fi Connectivity with SmartThings - Get End of Cycle Alerts and Remotely Start, Stop or Delay From Your Phone', 'Steam Wash -The Power of Steam Lets You Gently Remove Stains Without Any Time-Consuming Pretreatments']",Item  1805403,Model  WH46DBH100EW
,,,[],,
Frigidaire GAS Washer/Dryer Laundry Center 3.9 Cu. Ft Washer and 5.5 Cu. Ft. Dryer,Frigidaire,--,"['MaxFill™', 'Quieter Clean with Quiet Pack', '10 Different Wash Cycles', '6 Different Dry Cycles', 'End-of-Cycle Signal']",Item  1811878,Model  FLCG7522AW
Samsung 7.4 cu. ft. Smart GAS Dryer with Steam Sanitize,Samsung,--,"[""2-year Manufacturer's Warranty"", 'Wi-Fi Connectivity - Control in the Palm of Your Hand', 'Steam Sanitize+ - Freshen up Clothes', 'ENERGY STAR® Certified - Eco-friendly and Energy-efficient', 'Sensor Dry - Helps Prevent Overdrying for Optimal Fabric Care']",Item  1588431,Model  DVG55A7300E
LG SIGNATURE 5.8 cu. ft. Large Wi-Fi Enabled Front Load Washer,LG,--,"['TurboWash® Technology', 'LG ThinQ® Technology', 'Inverter Direct Drive Motor', 'LoDecibel™ Quiet Operation']",Item  1095735,Model  WM9500HKA
GE Profile 7.8 cu. ft. Smart GAS Front Load Dryer with Steam and Sanitize Cycle,GE Profile,--,"['Stainless Steel Drum', 'Sanitize Cycle', 'Wrinkle Care', 'Washer Link']",Item  1653412,Model  PFD95GSPTDS
GE Unitized Spacemaker 3.8 cu. ft. Washer and 5.9 cu. ft. ELECTRIC Dryer in White,GE Appliances,--,"['Combined Washer and Dryer Unit Saves Space', 'Precise Fill Technology', '11 Washer and 4 Dryer Cycles', 'LED Indicator']",Item  1325871,Model  GUD27EESNWW
Maytag 7.3 cu. ft. Large Capacity ELECTRIC Dryer with Extra Power Button,Maytag,--,"['Extra Power Button', 'Quick Dry Cycle', 'Advanced Moisture Sensing', 'Wrinkle Prevent Option']",Item  1326349,Model  MED5630HW
"GE 4.5 cu. ft. Capacity Washer with Stainless Steel Basket, Cold Plus and Wash Boost",GE Appliances,--,"['Wash Boost', 'Cold Plus\u200b', 'True Dual-Action Agitator', 'Water Level Control', 'Auto Balance Suspension System']",Item  2294727,Model  GTW485ASWWB
Electrolux 300 Series Laundry Tower Single Unit Washer and ELECTRIC Dryer,Electrolux,--,"['LuxCare® Lint Shield Helps Avoid Messes', 'Reversible Doors', 'Extended Refresh', 'Extra Large Capacity', 'ENERGY STAR® Certified']",Item  1811879,Model  ELTE7300AW
GE 4.6 cu. ft. Capacity Washer with Stainless Steel Basket and 7.2 cu. ft. Capacity GAS Dryer,GE Appliances,--,"['Wash Boost', 'High Performance Impeller', 'Water Level Control', 'Extended Tumble', 'Powerful Venting & Flexible Installation']",Item  V100334,Model  GTW480ASWWB | GTD48GASWWB
Whirlpool 3.8 cu. ft. Washer and 7.0 cu. ft. ELECTRIC Dryer with Wrinkle Shield,Whirlpool,--,"['Washer- Two-Way Wash Action Agitator', 'Water Level Selection', 'Dryer- AutoDry Drying System', 'Wrinkle Shield Option']",Item  V100322,Model  WTW4955HW | WED4950HW
GE 2.4 cu. ft. High-Efficiency Ventless ELECTRIC All-in-One Washer Dryer,GE Appliances,--,"['Load-Sensing Adaptive Fill', 'Deluxe Quiet Design', 'Stainless Steel Wash Basket', 'Detergent Dispenser']",Item  1437882,Model  GFQ14ESSNWW
Samsung 4.1 cu. ft. Capacity Top Load Washer with Soft-Close Lid and 8 Washing Cycles,Samsung,--,"[""2-year Manufacturer's Warranty"", 'Large 4.1 cu. ft. Capacity - Fewer Loads, Less Time In The Laundry Room.', 'Soft-close Lid - Soft-close Lid Closes Safely, Gently and Quietly.', '8 Preset Washing Cycles - More Cycles to Best Suit Your Washing Needs.', 'Vibration Reduction Technology+ - Reduces Noise and Vibration for Quiet Washing.']",Item  1751673,Model  WA41A3000AW
,,,[],,
LG 30” Smart Gas Cooktop with UltraHeat 22K BTU Dual Burner and LED Knobs,LG,--,"['Cast-Iron Grates with Removable Griddle', 'White LED Illuminated Knobs', 'EasyClean® Stainless Steel', 'Auto Reignition', 'ThinQ® Smart Technology']",Item  1732339,Model  CBGJ3027S
NXR PRO Under Cabinet 48 Inch. Range Hood with 1600 CFM,NXR,979.99,"[""2-Year Manufacturer's Warranty on Parts Only"", '1,600CFM', 'Ultra-Quiet Motor', 'LED Lighting', 'All Stainless Steel Baffles']",Item  2939731,Model  NXRPH4851
"Frigidaire Gallery 30"" 6.2 cu. ft. ELECTRIC Range with 15+ Ways To Cook",Frigidaire Gallery,--,"['Extra Large Oven Capacity', 'Backlit LED Knobs', 'Two Convenient Cleaning Options', 'Smudge-Proof® Stainless Steel', 'Air Sous Vide Option']",Item  1811870,Model  GCFE3060BF
Whirlpool 5.3 cu. ft. ELECTRIC Freestanding Range with Warm Zone Element,Whirlpool,--,"['30 Inch. Fit Width', 'Frozen Bake Technology', 'Warm Zone Element', 'Steam Clean Option']",Item  1425596,Model  WFE505W0JZ
"GE 30"" Built-In Knob Control Electric Cooktop",GE Appliances,--,"[""2-Year Manufacture's Warranty"", 'Knob Controls', 'Power Boil Dual-Ring Element', 'SyncBurners', 'Hot Surface Indicator Lights']",Item  1722578,Model  JEP5030DTBB
